"Balance","Income","Limit","Rating","Cards","Age","Education"
570,25.383,4527,367,4,46,11
0,17.316,1335,138,2,65,13
1246,44.847,5765,437,3,53,13
0,34.509,2001,189,5,80,18
1023,20.191,5767,431,4,42,16
964,148.924,9504,681,3,36,11
1259,123.299,8376,610,2,89,17
653,38.954,5222,370,4,76,13
638,10.793,3878,321,8,29,13
0,23.45,2450,180,2,78,13
1350,71.061,6819,491,3,41,19
976,36.929,6257,445,1,24,14
1075,15.079,5673,411,4,28,15
162,27.369,3449,288,3,40,9
209,23.106,3476,257,2,50,15
199,19.588,3211,265,4,59,14
489,42.529,4986,369,2,37,11
481,51.532,5096,380,2,31,15
0,92.112,4612,344,3,32,17
1243,128.669,9824,685,3,67,16
126,58.351,4411,326,2,85,16
812,48.498,6040,456,3,47,16
905,26.4,5640,398,3,58,15
1405,180.682,11966,832,2,58,8
1046,46.007,6637,491,4,42,14
767,87.625,7167,515,2,46,10
712,53.566,5891,434,4,82,10
371,19.253,3683,287,4,57,10
945,16.103,5390,418,4,45,10
0,80.861,4090,335,3,29,15
0,27.272,1389,149,5,67,10
283,36.934,4270,299,1,63,9
840,19.782,3782,293,2,46,16
642,19.529,4673,341,2,51,14
1208,71.682,8028,599,3,57,16
1393,135.118,10578,747,3,81,15
172,31.335,3526,289,3,38,7
1388,113.829,9704,694,4,38,13
368,36.496,4378,339,3,69,15
1036,33.694,4891,369,1,52,16
653,42.357,5550,406,2,83,12
347,30.111,4336,339,1,81,18
0,75.406,3874,298,3,41,14
903,106.025,6645,483,3,82,15
0,39.609,2539,188,1,40,14
410,10.735,3746,280,2,44,17
890,49.927,6396,485,3,75,17
548,76.782,5977,429,4,44,12
912,23.283,5443,407,4,49,13
806,83.948,7100,503,2,44,18
195,10.627,1647,149,2,71,10
532,30.622,3293,251,1,68,16
453,28.316,4391,316,2,29,10
0,18.967,1626,156,2,41,11
0,18.951,1485,129,3,82,13
829,23.949,5343,383,2,40,18
50,34.95,3327,253,3,54,14
0,10.363,2430,191,2,47,18
1677,140.672,11200,817,7,46,9
902,43.479,4569,354,4,49,13
583,104.483,7140,507,2,41,14
1120,31.861,6375,469,3,25,16
1058,69.943,7555,547,3,76,9
0,30.002,1561,155,4,70,13
1264,61.069,7871,564,3,56,14
0,34.772,2021,167,3,57,9
411,64.027,5179,398,5,48,8
856,58.165,6617,460,1,56,12
0,13.433,1134,112,3,70,14
1192,160.231,10748,754,2,69,17
669,103.893,7416,549,3,84,17
531,41.532,5000,353,2,50,12
1054,20.405,4543,329,2,72,17
1093,30.007,6481,462,2,69,9
279,15.125,3300,266,5,66,13
454,148.08,8157,599,2,83,13
230,51.345,4327,320,3,46,15
467,32.793,4534,333,2,44,16
194,24.314,3409,270,2,23,7
711,24.919,5051,372,3,76,11
0,21.374,2073,175,2,74,11
1000,20.974,5673,413,5,44,16
15,88.83,4952,360,4,86,16
997,77.38,7569,564,3,50,12
0,57.202,3411,259,3,72,11
1050,146.183,9540,682,6,66,15
0,37.728,2525,192,1,44,13
0,21.038,1448,145,2,58,13
156,41.419,2120,184,4,24,11
0,39.116,2150,173,4,75,15
805,17.055,5110,371,3,55,15
269,54.319,3063,248,3,59,8
118,58.063,4221,304,3,50,8
651,27.999,5107,380,1,55,10
868,23.793,3821,281,4,56,12
70,45.12,3762,287,3,80,8
1407,63.095,8117,589,4,30,14
47,34.537,3271,250,3,57,17
474,12.581,3976,291,2,48,16
797,44.646,4431,320,2,49,15
580,104.593,7075,514,4,71,11
0,11.603,2278,187,3,71,11
425,41.868,4716,342,2,47,18
